# Transit & Flow - applied migration manifest
# Generated from supabase_migrations.schema_migrations on project kjooyhvynkzuvsixsutt.
# This file is the authoritative record of what has been APPLIED to production.
# It is NOT a substitute for the migration SQL itself. See docs/CI_REPOSITORY_FIDELITY.md.
#
# checksum      = md5(array_to_string(statements, E'\n'))
# code_checksum = md5 of the same text after normalisation: trailing whitespace
#                 stripped from every line, then blank lines and whole-line SQL
#                 comments (lines whose first two non-space characters are --)
#                 removed, then the remaining lines rejoined with \n.
# bytes         = length(array_to_string(statements, E'\n'))
#
# Every row currently has statements=1, so the checksum is over the exact SQL text
# that was submitted to the database, with no trailing newline.
#
# The two checksums separate two different kinds of divergence between a
# repository file and what production actually ran:
#   checksum matches                      -> EXACT
#   checksum differs, code_checksum equal -> COMMENT_DRIFT  (prose only)
#   both differ                           -> CODE_DRIFT     (executable text)
# CODE_DRIFT fails the build unless the pair is registered in MANIFEST_EXCEPTIONS.tsv.
#
# Columns: ordinal<TAB>version<TAB>name<TAB>statements<TAB>checksum<TAB>bytes<TAB>code_checksum
ordinal	version	name	statements	checksum	bytes	code_checksum
1	20260717152445	tf_schema_01_enums_and_triggers	1	3acb6f2f9ba13c9f0e061db550d17373	9847	a25adff6a07fa2b09043936baa03e233
2	20260717164106	tf_02_org_identity	1	f287588841e4ceeeb46dcccf4be0eefb	7488	f287588841e4ceeeb46dcccf4be0eefb
3	20260717164423	tf_00_preserve_legacy_scaffold	1	2ce2abd12e62aae222123353d00f2f84	1470	2ce2abd12e62aae222123353d00f2f84
4	20260717164545	tf_03_recruiting_vendors_b	1	3a2c9b203d65a2c4a483dc9df8b2b5cc	14058	3a2c9b203d65a2c4a483dc9df8b2b5cc
5	20260717172337	tf_04_compliance_partners	1	846d95aefcfc14e4cf4ac042fe14845a	13048	846d95aefcfc14e4cf4ac042fe14845a
6	20260717172449	tf_05_fieldops_core	1	c59aa436d92dbf4b6d2711d762c6e12c	9008	c59aa436d92dbf4b6d2711d762c6e12c
7	20260717172605	tf_06_estimating	1	83289b9d59c618e0d01a04d9c791470a	13399	83289b9d59c618e0d01a04d9c791470a
8	20260717173237	tf_07_completion_money	1	b19cad7b93241cdb0a4ce9613e37f1a3	8686	b19cad7b93241cdb0a4ce9613e37f1a3
9	20260717173345	tf_08_payouts_performance_knowledge	1	1ddd90fa54f0134e1600263f316a0d68	10549	1ddd90fa54f0134e1600263f316a0d68
10	20260717173454	tf_09_integrations_ai_platform	1	2b61aa4c391bfcc7d6291dc7b1cad0e0	12092	2b61aa4c391bfcc7d6291dc7b1cad0e0
11	20260717173528	tf_10_trigger_wiring	1	9051f1be2d826eef94770baf791867d4	3517	aa57269fb7ec71f5ce871a445903529c
12	20260717173633	tf_rls_01_helpers	1	2c721e4f4acc0ae460b45df790d5b43c	5900	b0e5d9e523cc844d7adc86b463acc65d
